sha256,file_size,packed,local_score,intel_score,score,heuristic_score,cfg_nodes,cfg_edges,cfg_cyclomatic,cfg_max_depth,cfg_avg_depth,cfg_loop_count,cfg_scc_count,strings_total_count,strings_b64_count,api_risk_score,platform,family,source
cd13a9a774197bf84bd25a30f4cd51dbc4908138e2e008c81fc1feef881c6da7,258048,0,13.0,0.0,13.0,13.0,66,84,20,66,25.1667,0,66,232,3,6.0,Windows,Emotet,MalwareBazaar
c9154056cf3146bd3249de862fca6ceccd6eb020095aa889ce7d9da08c3d314b,26509148,0,69.0,0.0,69.0,69.0,42,74,34,42,11.7857,0,42,150476,11142,8.0,Android,Android.Trojan.Overlay,MalwareBazaar
cb86017411708eb6e5384fc0288b0ec4692ea45ef38586b7c67f99148e1117c3,17790527,0,31.0,0.0,31.0,31.0,25,34,11,25,9.2,0,25,58914,4128,4.0,Android,Android.Riskware.Installer,MalwareBazaar
c8ad064a42c35e8d271f67dab37d5131f1ff31e673846c50644b10080f76c9fb,989696,0,46.0,0.0,46.0,46.0,7849,10228,2381,81,34.3827,13,389,4174,63,48.0,Windows,Win.Suspicious.Generic,MalwareBazaar
c9783969d5474b7035fab8eb6acfedd475ec7297cd8042f5a188b21c48b9491a,1251739,0,22.0,0.0,22.0,22.0,141,171,32,141,56.9291,0,141,3137,57,22.0,Windows,Emotet,MalwareBazaar
ca8d3b9644916b4772e624477964166d2a89ed16623541d66bb59bb2f40f491e,110487,0,37.0,0.0,37.0,37.0,13,25,14,13,3.9231,0,13,185,1,0.0,Android,MossadProxy,MalwareBazaar
cadcce6d4088c72fd0779d59d00f5753eaab585a263e3c92374df29ae767ac15,2441463,0,41.0,0.0,41.0,41.0,6,12,8,6,2.1667,0,6,6896,69,8.0,Android,BankBot,MalwareBazaar
c5cc20ef48e8c9cd6cf76d8a9d8cc6a04ad4985bd2c86d461beeece88e4fccc9,27634201,0,35.5,0.0,35.5,35.5,101,129,30,101,38.3762,0,101,66345,516,4.0,Android,Joker,MalwareBazaar
c90957ae325f7ecd6d23004503133a029fe0691e0542afb2a2b335c4841622ac,606720,0,16.0,0.0,16.0,16.0,89,95,8,89,41.2247,0,89,2304,152,0.0,Windows,PureHVNC,MalwareBazaar
c7bbc23fcf86f5397b98f79d10511dbd3aa7df2ef8f8eb73e2c08164c8521d50,58368,0,13.0,0.0,13.0,13.0,491,571,82,35,17.4857,12,341,135,1,38.0,Windows,Emotet,MalwareBazaar
c8082b6b6e3f681fefa98762c23a8dc2895e6e56eeba56a2b0e7dba3d3b2c154,78275,1,20.0,0.0,20.0,20.0,24,30,8,24,9.3333,0,24,238,1,22.0,Windows,Floxif,MalwareBazaar
c7aa94a5b60a7ebcb1efcd3649e93fcdd9c9cc7555b217af26055ad37dadad1d,6894592,1,66.0,0.0,66.0,66.0,180,241,63,180,65.0111,0,180,17592,357,42.0,Windows,Win.Packed.Generic,MalwareBazaar
